order_id,order_date,region,channel,product_category,customer_segment,units,unit_price,discount_pct,revenue,shipping_days,satisfaction
ORD-00009,2025-10-01,North,web,Peripherals,Mid-Market,3,93.8,10,253.26,4,4
ORD-00039,2025-10-01,North,partner,Peripherals,SMB,1,88.13,20,70.5,7,3
ORD-00119,2025-10-01,West,web,Displays,SMB,1,582.87,10,524.58,1,5
ORD-00310,2025-10-01,North,web,Storage,Mid-Market,4,156.94,15,533.6,2,5
ORD-00115,2025-10-02,North,mobile,Networking,SMB,2,298.95,10,538.11,2,4
ORD-00324,2025-10-02,East,phone,Audio,SMB,2,203.43,10,366.17,4,4
ORD-00025,2025-10-03,North,mobile,Displays,SMB,1,533.85,0,533.85,1,5
ORD-00143,2025-10-03,West,web,Storage,Mid-Market,4,148.92,15,506.33,3,5
ORD-00333,2025-10-03,East,partner,Displays,SMB,3,587.38,0,1762.14,12,4
ORD-00202,2025-10-04,East,web,Networking,Mid-Market,4,343.71,0,1374.84,2,4
ORD-00280,2025-10-04,South,web,Networking,Mid-Market,3,344.92,0,1034.76,2,5
ORD-00190,2025-10-05,East,web,Peripherals,SMB,1,95.53,20,76.42,3,4
ORD-00001,2025-10-06,Central,phone,Audio,SMB,3,194.17,0,582.51,2,5
ORD-00059,2025-10-06,East,mobile,Networking,Mid-Market,3,363.53,20,872.47,4,5
ORD-00390,2025-10-06,West,partner,Networking,SMB,2,321.41,20,514.26,9,4
ORD-00040,2025-10-07,North,web,Networking,SMB,2,321.9,10,579.42,3,4
ORD-00057,2025-10-07,West,web,Networking,SMB,2,324.33,0,648.66,3,4
ORD-00109,2025-10-08,South,partner,Storage,SMB,3,151.5,0,454.5,9,3
ORD-00146,2025-10-08,East,mobile,Peripherals,SMB,5,95.11,15,404.22,4,5
ORD-00386,2025-10-09,Central,web,Networking,Mid-Market,4,325.47,20,1041.5,4,3
ORD-00407,2025-10-09,South,web,Displays,SMB,5,608.49,15,2586.08,5,5
ORD-00096,2025-10-10,East,mobile,Storage,Mid-Market,2,161.27,10,290.29,1,5
ORD-00136,2025-10-10,East,partner,Audio,SMB,6,184.31,15,939.98,5,4
ORD-00336,2025-10-10,North,web,Storage,SMB,1,144.01,0,144.01,1,5
ORD-00133,2025-10-11,South,mobile,Storage,Enterprise,5,174.57,5,829.21,1,5
ORD-00221,2025-10-11,West,web,Audio,Enterprise,4,252.17,0,1008.68,2,4
ORD-00397,2025-10-11,North,mobile,Audio,SMB,4,193.35,10,696.06,5,5
ORD-00278,2025-10-12,Central,mobile,Displays,SMB,5,562.99,0,2814.95,1,5
ORD-00322,2025-10-12,East,mobile,Networking,SMB,5,339.06,0,1695.3,1,5
ORD-00419,2025-10-13,North,web,Peripherals,Mid-Market,5,99.43,5,472.29,5,5
ORD-00162,2025-10-14,South,mobile,Peripherals,SMB,8,86.82,5,659.83,6,4
ORD-00163,2025-10-14,East,mobile,Networking,SMB,3,338.56,15,863.33,3,5
ORD-00232,2025-10-14,North,mobile,Audio,Mid-Market,3,219.05,5,624.29,3,5
ORD-00352,2025-10-14,East,web,Storage,SMB,2,152.16,5,289.1,5,5
ORD-00417,2025-10-14,South,web,Displays,Mid-Market,5,620.66,0,3103.3,3,5
ORD-00248,2025-10-15,West,mobile,Audio,Mid-Market,3,213.4,10,576.18,1,5
ORD-00227,2025-10-16,West,web,Peripherals,SMB,2,85.47,0,170.94,2,5
ORD-00095,2025-10-17,North,mobile,Displays,SMB,4,556.36,20,1780.35,5,5
ORD-00054,2025-10-18,East,partner,Networking,SMB,1,326.26,0,326.26,7,5
ORD-00138,2025-10-19,West,web,Networking,Mid-Market,3,337.0,5,960.45,2,5
ORD-00209,2025-10-19,West,partner,Networking,Mid-Market,4,364.74,0,1458.96,6,5
ORD-00265,2025-10-19,East,web,Displays,SMB,5,542.22,5,2575.55,1,5
ORD-00033,2025-10-20,North,web,Storage,SMB,4,145.8,15,495.72,2,5
ORD-00087,2025-10-20,East,phone,Storage,SMB,1,149.37,0,149.37,3,
ORD-00029,2025-10-21,North,web,Displays,SMB,2,605.63,0,1211.26,4,5
ORD-00375,2025-10-21,South,mobile,Peripherals,SMB,4,94.73,10,341.03,1,5
ORD-00185,2025-10-22,North,web,Peripherals,Mid-Market,6,98.23,0,589.38,4,
ORD-00128,2025-10-23,North,phone,Storage,SMB,5,142.42,0,712.1,4,4
ORD-00058,2025-10-24,South,phone,Audio,Enterprise,5,240.54,15,1022.29,6,4
ORD-00123,2025-10-24,North,web,Networking,Mid-Market,5,358.33,10,1612.48,2,4
ORD-00205,2025-10-24,Central,web,Networking,SMB,3,312.79,0,938.37,4,4
ORD-00003,2025-10-25,West,mobile,Storage,SMB,3,150.94,0,452.82,4,
ORD-00067,2025-10-25,Central,partner,Peripherals,SMB,5,91.7,10,412.65,9,4
ORD-00116,2025-10-25,South,phone,Peripherals,Enterprise,5,109.45,5,519.89,4,4
ORD-00011,2025-10-26,Central,partner,Networking,SMB,4,339.65,0,1358.6,11,4
ORD-00100,2025-10-26,East,mobile,Peripherals,SMB,3,90.6,15,231.03,3,
ORD-00169,2025-10-26,South,phone,Networking,SMB,3,330.59,5,942.18,3,5
ORD-00364,2025-10-26,North,mobile,Audio,Enterprise,6,250.88,0,1505.28,2,5
ORD-00408,2025-10-26,South,phone,Networking,SMB,3,321.1,0,963.3,6,3
ORD-00052,2025-10-27,North,mobile,Audio,SMB,2,195.12,0,390.24,5,3
ORD-00222,2025-10-27,North,web,Networking,SMB,1,341.71,15,290.45,1,5
ORD-00234,2025-10-27,Central,web,Peripherals,Mid-Market,4,90.25,0,361.0,3,5
ORD-00325,2025-10-27,West,web,Storage,Mid-Market,4,145.45,0,581.8,3,5
ORD-00391,2025-10-27,Central,partner,Audio,SMB,3,207.51,5,591.4,6,5
ORD-00079,2025-10-28,Central,web,Audio,Mid-Market,4,201.25,5,764.75,1,5
ORD-00291,2025-10-28,West,web,Peripherals,Enterprise,4,119.91,5,455.66,5,5
ORD-00212,2025-10-29,South,partner,Displays,SMB,2,543.13,0,1086.26,7,3
ORD-00217,2025-10-29,North,mobile,Storage,SMB,3,145.97,0,437.91,3,5
ORD-00216,2025-10-31,South,partner,Displays,Mid-Market,2,641.0,5,1217.9,6,4
ORD-00220,2025-10-31,East,mobile,Audio,SMB,2,203.93,0,407.86,1,5
ORD-00389,2025-10-31,North,web,Displays,Mid-Market,3,585.84,10,1581.77,4,
ORD-00038,2025-11-01,West,partner,Displays,SMB,4,586.05,0,2344.2,6,5
ORD-00081,2025-11-01,Central,web,Peripherals,SMB,5,89.62,0,448.1,2,4
ORD-00383,2025-11-01,South,phone,Storage,SMB,5,150.79,0,753.95,4,4
ORD-00084,2025-11-02,North,partner,Audio,Mid-Market,4,197.31,5,749.78,9,4
ORD-00114,2025-11-02,Central,mobile,Displays,SMB,6,573.89,0,3443.34,3,5
ORD-00201,2025-11-02,East,phone,Networking,Mid-Market,3,354.26,10,956.5,4,5
ORD-00355,2025-11-02,Central,web,Audio,SMB,1,206.97,5,196.62,2,
ORD-00044,2025-11-03,East,web,Audio,SMB,2,183.37,5,348.4,3,4
ORD-00064,2025-11-03,North,web,Peripherals,Mid-Market,4,98.86,5,375.67,4,5
ORD-00358,2025-11-03,East,phone,Networking,SMB,2,334.08,10,601.34,4,5
ORD-00148,2025-11-04,North,web,Storage,SMB,6,139.89,5,797.37,3,5
ORD-00263,2025-11-04,West,partner,Audio,SMB,4,193.43,5,735.03,8,5
ORD-00174,2025-11-05,West,web,Storage,SMB,5,154.31,5,732.97,4,4
ORD-00363,2025-11-05,East,web,Storage,Mid-Market,3,161.3,0,483.9,2,4
ORD-00022,2025-11-06,Central,mobile,Audio,Enterprise,4,237.18,15,806.41,3,5
ORD-00113,2025-11-06,West,web,Peripherals,Mid-Market,3,100.48,5,286.37,4,4
ORD-00377,2025-11-06,North,partner,Peripherals,Mid-Market,3,95.75,10,258.53,6,4
ORD-00179,2025-11-07,East,web,Storage,SMB,6,145.92,0,875.52,2,
ORD-00214,2025-11-07,North,web,Audio,SMB,4,197.64,0,790.56,3,4
ORD-00276,2025-11-07,West,partner,Peripherals,SMB,3,91.14,20,218.74,7,4
ORD-00032,2025-11-08,South,web,Peripherals,SMB,2,89.66,10,161.39,2,5
ORD-00066,2025-11-08,South,web,Peripherals,Mid-Market,7,91.03,0,637.21,3,5
ORD-00107,2025-11-08,East,web,Audio,SMB,3,185.05,5,527.39,2,5
ORD-00297,2025-11-08,West,phone,Displays,SMB,4,549.25,0,2197.0,3,
ORD-00041,2025-11-09,North,mobile,Peripherals,Mid-Market,5,97.94,5,465.21,4,5
ORD-00124,2025-11-09,West,partner,Networking,Mid-Market,2,367.76,10,661.97,7,4
ORD-00187,2025-11-09,North,web,Storage,SMB,1,155.66,0,155.66,3,5
ORD-00267,2025-11-09,North,mobile,Audio,SMB,2,197.34,10,355.21,5,4
ORD-00049,2025-11-10,North,web,Audio,SMB,3,191.15,20,458.76,1,5
ORD-00076,2025-11-10,East,phone,Peripherals,SMB,2,91.64,0,183.28,3,4
ORD-00347,2025-11-10,East,partner,Peripherals,SMB,5,85.25,10,383.62,7,5
ORD-00398,2025-11-11,Central,phone,Storage,Enterprise,3,181.39,10,489.75,4,5
ORD-00075,2025-11-12,North,partner,Displays,Mid-Market,4,653.26,20,2090.43,9,3
ORD-00182,2025-11-12,Central,partner,Audio,SMB,7,188.27,0,1317.89,8,
ORD-00269,2025-11-12,East,phone,Displays,SMB,1,576.03,5,547.23,2,5
ORD-00238,2025-11-13,North,web,Displays,SMB,3,567.86,0,1703.58,2,5
ORD-00318,2025-11-13,East,web,Storage,SMB,2,156.6,10,281.88,1,4
ORD-00189,2025-11-14,West,mobile,Peripherals,SMB,4,96.73,5,367.57,1,4
ORD-00345,2025-11-14,Central,mobile,Storage,Mid-Market,6,164.01,10,885.65,2,
ORD-00160,2025-11-15,North,mobile,Storage,Mid-Market,4,161.09,5,612.14,3,5
ORD-00272,2025-11-15,Central,mobile,Audio,Mid-Market,2,207.91,0,415.82,1,5
ORD-00372,2025-11-16,North,phone,Audio,SMB,6,204.72,10,1105.49,3,5
ORD-00166,2025-11-17,Central,web,Audio,Enterprise,4,228.64,0,914.56,1,5
ORD-00344,2025-11-17,East,partner,Storage,Mid-Market,4,162.18,20,518.98,6,5
ORD-00036,2025-11-18,North,partner,Audio,Mid-Market,7,213.28,0,1492.96,7,4
ORD-00159,2025-11-18,North,web,Displays,SMB,8,557.61,10,4014.79,3,5
ORD-00402,2025-11-18,North,phone,Storage,SMB,2,152.08,10,273.74,5,5
ORD-00013,2025-11-19,South,web,Networking,Mid-Market,5,350.78,5,1666.2,4,5
ORD-00016,2025-11-19,South,mobile,Networking,Enterprise,7,417.54,15,2484.36,3,4
ORD-00126,2025-11-19,North,web,Peripherals,SMB,3,89.6,0,268.8,2,5
ORD-00312,2025-11-19,East,web,Audio,SMB,5,191.8,5,911.05,2,5
ORD-00416,2025-11-19,North,web,Peripherals,SMB,5,93.4,5,443.65,5,4
ORD-00068,2025-11-20,North,mobile,Storage,SMB,5,139.39,15,592.41,4,5
ORD-00337,2025-11-20,North,mobile,Peripherals,SMB,2,92.53,20,148.05,2,5
ORD-00045,2025-11-21,Central,partner,Networking,SMB,1,330.91,20,264.73,8,3
ORD-00401,2025-11-21,East,mobile,Storage,Enterprise,7,188.74,0,1321.18,1,5
ORD-00258,2025-11-22,East,mobile,Peripherals,Mid-Market,7,101.22,10,637.69,3,4
ORD-00103,2025-11-23,West,mobile,Peripherals,SMB,7,90.05,5,598.83,4,4
ORD-00392,2025-11-23,West,mobile,Storage,SMB,1,149.4,10,134.46,3,5
ORD-00393,2025-11-23,East,mobile,Audio,Mid-Market,4,209.97,0,839.88,3,5
ORD-00224,2025-11-24,Central,partner,Displays,Mid-Market,6,661.81,0,3970.86,5,
ORD-00399,2025-11-24,East,mobile,Peripherals,Mid-Market,4,97.2,0,388.8,1,
ORD-00418,2025-11-24,South,phone,Storage,Enterprise,2,185.08,10,333.14,5,5
ORD-00294,2025-11-25,North,web,Storage,SMB,3,157.43,15,401.45,3,5
ORD-00328,2025-11-25,East,partner,Displays,SMB,4,619.95,0,2479.8,8,4
ORD-00072,2025-11-27,East,web,Storage,Enterprise,3,174.25,5,496.61,3,5
ORD-00286,2025-11-27,West,web,Peripherals,SMB,5,88.05,10,396.23,1,5
ORD-00302,2025-11-27,East,web,Networking,Enterprise,3,388.56,0,1165.68,1,5
ORD-00413,2025-11-27,South,mobile,Networking,SMB,5,307.63,0,1538.15,4,4
ORD-00034,2025-11-28,North,mobile,Audio,Mid-Market,5,206.57,0,1032.85,4,3
ORD-00256,2025-11-28,Central,web,Audio,Mid-Market,4,214.71,5,815.9,2,5
ORD-00226,2025-11-30,Central,web,Storage,SMB,2,144.84,5,275.2,3,
ORD-00370,2025-11-30,North,web,Audio,SMB,2,190.29,10,342.52,6,5
ORD-00088,2025-12-01,West,web,Networking,SMB,6,342.91,10,1851.71,5,3
ORD-00250,2025-12-01,West,mobile,Audio,Enterprise,3,236.58,5,674.25,4,4
ORD-00268,2025-12-01,Central,mobile,Audio,SMB,4,205.42,10,739.51,2,5
ORD-00338,2025-12-01,West,phone,Audio,Enterprise,5,230.89,20,923.56,4,
ORD-00050,2025-12-03,North,phone,Peripherals,Mid-Market,2,93.61,10,168.5,3,5
ORD-00225,2025-12-03,North,mobile,Audio,Enterprise,2,243.26,0,486.52,4,
ORD-00125,2025-12-04,East,mobile,Networking,Enterprise,6,400.45,10,2162.43,2,5
